col_names;Statut;todo
PONDERATIONS;ok;
EXTRAP;ok;
OPERAT;ok;drop
QUEST;ok;drop
IDENT;ok;drop
VILLAG0;ok;
NUMQUEST;ok;
VILLAGE;ok;
HORS_NK;ok;
LHZ;ok;
NUMEN;ok;drop
DATE_JOUR;ok;drop
DATE_MOIS;ok;drop
DATE_ANN_E;ok;drop
CODE_ENQ;ok;drop
CODE_CONT;ok;drop
AG_SAISIE;ok;drop
JOUR_SAISIE;ok;drop
MOIS_SAISIE;ok;drop
ANNEE_SAISIE;ok;drop
TRAGE1;ok;
TRAGE2;ok;
Q2_1;ok;
Q2_2;ok;
Q2_3;ok;
Q2_4;ok;
SCOL;ok;
Q2_5;ok;
EQUIV_AD;ok;
Q2_6_1_M;ok;
Q2_6_1_F;ok;
Q2_6_2_M;ok;
Q2_6_2_F;ok;
Q2_6_3_M;ok;
Q2_6_3_F;ok;
Q2_6_4_M;ok;
Q2_6_4_F;ok;
Q2_6_5_M;ok;
Q2_6_5_F;ok;
NB_HOM;ok;
NB_FEM;ok;
RAP_FEMINITE;ok;
PC_FEM;ok;
DEPENDANT;ok;
Q3_1;ok;drop
Q3_2;ok;drop
Q3_3;ok;drop
Q3_4;ok;drop
Q3_5;ok;drop
Q3_6;ok;drop
Q3_7;ok;drop
Q3_8;ok;drop
Q3_9;ok;drop
Q3_10;ok;drop
Q3_11;ok;drop
Q3_12;ok;drop
Q3_13;ok;drop
Q3_14;ok;drop
Q3_15;ok;drop
Q4_1;ok;
Q4_2;ok;
Q4_3;ok;
Q4_4;ok;
Q4_5_1;ok;
Q4_5_2;ok;
Q4_6_1;ok;
Q4_6_2;ok;
Q4_7_1;ok;
Q4_7_2;ok;
VENT_LAIT;ok;
PC_VENTLAIT;ok;
Q4_8_1;ok;
Q4_8_2;ok;
SUM_MIL;ok;
Q5_1_1;ok;
Q5_1_2;ok;
Q5_1_3;ok;
Q5_1_4;ok;
Q5_2_1;ok;
Q5_2_2;ok;
Q5_2_3;ok;
Q5_2_4;ok;
SUM_MAIS;ok;
Q5_3_1;ok;
Q5_3_2;ok;
Q5_3_3;ok;
Q5_3_4;ok;
SUM_RIZ;ok;
Q5_4_1;ok;
Q5_4_2;ok;
Q5_4_3;ok;
Q5_4_4;ok;
SUM_BLE;ok;
Q5_5_1;ok;
Q5_5_2;ok;
Q5_5_3;ok;
Q5_5_4;ok;
SUM_CEREALES;ok;
DISPO_CER;ok;
PC_MIL;ok;
PC_SORG;ok;
PC_MAIS;ok;
PC_RIZ;ok;
PC_BLE;ok;
SUM_CER_PROD;ok;
SUM_CER_ACHAT;ok;
SUM_CER_DON;ok;
SUM_CER_PARPER;ok;
PC_PROD;ok;
PC_ACHAT;ok;
PC_DON;ok;
DISPO_CER_PARPER;ok;
SUM_CER_EQIV;ok;
DISPO_CER_EQIV;ok;
Q6_1_A;ok;
Q6_1_B;ok;
Q6_2_A;ok;
Q6_2_B;ok;
Q6_3_A;ok;
Q6_3_B;ok;
Q7_1;ok;
Q7_80;ok;
Q7_81;ok;
Q7_82;ok;
Q7_83;ok;
Q7_84;ok;
Q7_85;ok;
Q7_86;ok;
Q7_87;ok;
Q7_88;ok;
Q7_89;ok;
Q7_90;ok;
Q7_91;ok;
Q7_92;ok;
Q7_93;ok;
Q7_94;ok;
Q7_95;ok;
Q7_96;ok;
Q7_97;ok;
Q7_98;ok;
Q7_99;ok;
Q8_1_1;ok;
Q8_1_2;ok;
Q9_1;ok;
Q9_2;ok;
Q9_3;ok;
Q9_4;ok;
Q9_5;ok;
Q9_6;ok;
Q9_7;ok;
Q9_8;ok;
Q9_9;ok;
Q9_10;ok;
Q9_1_8$1;ok;
Q9_1_8$2;ok;
Q9_1_8$3;ok;
Q9_1_8$4;ok;
Q9_1_8$5;ok;
Q9_1_8$6;ok;
Q9_1_8$7;ok;
Q9_1_8$8;ok;
Q9_1_8$9;ok;
Q9_9_16$1;ok;
Q9_9_16$2;ok;
Q9_9_16$3;ok;
Q9_9_16$4;ok;
Q9_9_16$5;ok;
Q9_9_16$6;ok;
Q9_9_16$7;ok;
Q9_9_16$8;ok;
Q9_9_16$9;ok;
Q10_1;ok;
Q10_2;ok;
Q10_3;ok;
Q10_4;ok;
Q10_5;ok;
Q10_A_E$1;ok;
Q10_A_E$2;ok;
Q10_A_E$3;ok;
Q10_A_E$4;ok;
Q10_A_E$5;ok;
Q11_1;ok;
Q11_2;ok;
Q11_3;ok;
Q11_4;ok;
Q11_5;ok;
Q11_6;ok;
Q11_7;ok;
Q11_8;ok;
Q11_9;ok;
Q11_10;ok;
Q11_11;ok;
Q11_12;ok;drop
Q11_13;ok;drop
Q11_14;ok;drop
ADBASE;ok;
LEGUMINEUSE;ok;
FRUITS;ok;
LEGUMES;ok;
VIANDE_POISSON;ok;
LAIT;ok;
HUILE;ok;
SUCRE;ok;
FCS;ok;
FCG_28_42;ok;
CSI;ok;
FAC1_1;ok;drop
FAC2_1;ok;drop
NFAC1_1;ok;drop
FAC1_2;ok;drop
FAC2_2;ok;drop
FAC3_2;ok;drop
NTI001;ok;drop
FAC1_3;ok;drop
FAC2_3;ok;drop
NTI002;ok;drop
FAC1_4;ok;drop
FAC2_4;ok;drop
NTI003;ok;drop
TOT_SOURCE;ok;
PER.SOURCE1;ok;
PER.SOURCE2;ok;
PER.SOURCE3;ok;
PER.SOURCE4;ok;
PER.SOURCE5;ok;
PER.SOURCE6;ok;
PER.SOURCE7;ok;
PER.SOURCE8;ok;
PER.SOURCE9;ok;
PER.SOURCE10;ok;drop
ID01;ok;drop
ID02;ok;drop
CLUSTER;ok;drop
SAISIE;ok;drop
PONDERATION1;ok;
PONDERATION2;ok;
CLUSTER2;ok;drop
SELECT;ok;drop
NUMDR;ok;drop
CODE_CE;ok;drop
Q2_0;ok;
Q2_7_1564;ok;
MIGRATION;ok;
Q2_8$1;ok;
Q2_8$2;ok;
Q2_9_1564;ok;
Q4_1A;ok;
Q4_2A;ok;
Q4_3A;ok;
Q4_4A;ok;
LHG;ok;
Q11_1_8$1;ok;
Q11_1_8$2;ok;
Q11_1_8$3;ok;
Q11_1_8$4;ok;
Q11_1_8$5;ok;
Q11_1_8$6;ok;
Q11_1_8$7;ok;
Q11_1_8$8;ok;
Q11_9_16$1;ok;
Q11_9_16$2;ok;
Q11_9_16$3;ok;
Q11_9_16$4;ok;
Q11_9_16$5;ok;
Q11_9_16$6;ok;
Q11_9_16$7;ok;
Q11_9_16$8;ok;
EVO_BOV;ok;drop
EVO_OV;ok;drop
EVO_CAP;ok;drop
EVO_CAM;ok;drop
FILTER_$;ok;drop
SUM_SORG;ok;drop
SUM_CEREALES1;ok;drop
